Source,Target,Score
RE-597,IFlightSimulator,0.8090
RE-114,SimulatorScenarioPersistenceProvider,0.8089
RE-555,IDroneConnectorServiceInstance,0.8089
RE-25,AbstractRegisterableUnit,0.8089
RE-681,ISimulatorScenario,0.8088
RE-508,ManagedHashTableList,0.8088
RE-28,Drone,0.8088
RE-691,DroneSimulatorServiceRemoteFacade,0.8088
RE-706,PlanPool,0.8087
RE-103,AFMainLayout,0.8087
RE-626,RuntimeDroneTypes,0.8086
RE-555,IFlightRouteplanningServiceInstance,0.8086
RE-114,WorkspaceInitializer,0.8085
RE-681,SynchronizationState,0.8084
RE-709,FlightPlanFactory,0.8084
RE-549,SynchronizationPoint,0.8083
RE-709,ServiceIds,0.8083
RE-709,IFlightSimulator,0.8080
RE-28,TreeNode,0.8080
RE-501,IDroneCommand,0.8079
RE-759,DefaultDroneCollector,0.8078
RE-706,FlightPlanFactory,0.8078
RE-555,FlightManagerServiceRemoteFacade,0.8077
RE-25,FlightRoute,0.8077
RE-594,UAVProxyManager,0.8075
RE-508,DroneMonitoringServiceRemoteFacade,0.8074
RE-114,IRemoteMonitoringMessageHandler,0.8074
RE-25,LogCleaner,0.8073
RE-639,RuntimeDroneTypes,0.8073
RE-597,MessageMarshaller,0.8072
RE-701,StateMessageTypeAdapter,0.8071
RE-759,IDroneSetupRemoteService,0.8069
RE-424,RemoteManagerFactory,0.8069
RE-709,SyncConstants,0.8069
RE-549,AMControlsComponent,0.8069
RE-639,FlightRouteInfo,0.8069
RE-501,AbstractRMIRemoteObject,0.8069
RE-597,MonitoringDispatchThread,0.8069
RE-508,NedCommand,0.8069
RE-691,PlanPool,0.8067
RE-639,IDronologyChangeListener,0.8067
RE-709,CommandIds,0.8065
RE-77,AbstractDroneCommand,0.8065
RE-103,ManagedHashTableList,0.8060
RE-693,SimulatorScenario,0.8060
RE-508,UAVRegistrationService,0.8057
RE-587,IFlightRoute,0.8056
RE-656,PysicalDroneIdGenerator,0.8056
RE-706,StateMessageTypeAdapter,0.8054
RE-597,FlightPlanFactory,0.8054
RE-555,MessageMarshaller,0.8054
RE-541,DroneCollectionStatus,0.8053
RE-597,IPlanStatusChangeListener,0.8052
RE-549,RemoteServerProcessListenerAdapter,0.8051
RE-80,Drone,0.8049
RE-695,UAVTypeRegistrationService,0.8048
RE-101,UAVTypeRegistrationService,0.8048
RE-693,IDroneSetupRemoteService,0.8046
RE-587,RouteAssignmentDemoScript,0.8045
RE-77,AssignedDrone,0.8043
RE-693,AFMainLayout,0.8042
RE-541,JSONSendTester,0.8042
RE-541,JsonTester,0.8042
RE-114,BaseServiceProvider,0.8042
RE-501,AreaMappingServiceRemoteFacade,0.8041
RE-597,DroneSetupServiceRemoteFacade,0.8041
RE-706,UAVMessageFactory,0.8041
RE-501,DronologyServiceRunner,0.8039
RE-626,IAreaMappingRemoteService,0.8039
RE-597,FlightInfo,0.8039
RE-555,DronologyServiceRunner,0.8039
RE-626,IServiceListener,0.8038
RE-626,DroneMonitoringService,0.8037
RE-595,SimulatorFactory,0.8036
RE-695,MissionElementFactory,0.8034
RE-80,FlightPlanFactory,0.8031
RE-691,ServiceStatus,0.8030
RE-77,UAVMessageFactory,0.8029
RE-681,IBatterySimulator,0.8028
RE-80,JsonTester2,0.8026
RE-639,IMonitoringDataHandler,0.8025
RE-597,StateMessageTypeAdapter,0.8024
RE-701,UAVMessageFactory,0.8023
RE-639,DroneConnectorService,0.8023
RE-508,IncommingGroundstationConnectionServer,0.8020
RE-639,DroneSimulatorService,0.8020
RE-508,IPlanStatusChangeListener,0.8019
RE-759,DroneCollector,0.8016
RE-114,DroneSimulatorService,0.8016
RE-508,UAVListenerManager,0.8015
RE-103,IDroneSetupRemoteService,0.8015
RE-508,IFileTransmitServiceInstance,0.8015
RE-639,IFileChangeNotifyable,0.8013
RE-626,FlightRouteInfo,0.8012
RE-77,SimpleTakeoffFlightPlan,0.8010
RE-616,UAVProxy,0.8009
RE-689,UAVTypeRegistrationService,0.8009
RE-555,FlightPlan,0.8009
RE-611,Drone,0.8009
RE-114,IFileChangeNotifyable,0.8008
RE-25,IUAVRegistration,0.8008
RE-709,DummyLockObject,0.8007
RE-508,SynchronizationState,0.8006
RE-114,DroneSimulatorServiceRemoteFacade,0.8006
RE-77,WatchServiceRunner,0.8005
RE-691,UAVTypeRegistrationPersistenceProvider,0.8005
RE-541,UAVProxy,0.8004
RE-77,WorkspaceInitializer,0.8003
RE-501,AMControlsComponent,0.8003
RE-28,AbstractDroneCommand,0.8002
RE-587,UAVTypeRegistrationService,0.8000
RE-555,UAVTypeRegistrationServiceRemoteFacade,0.7999
RE-28,FlightPlanFactory,0.7998
RE-80,MappingInfo,0.7998
RE-626,ServiceIds,0.7998
RE-691,IDroneSimulatorRemoteService,0.7997
RE-729,IRemoteServiceListener,0.7997
RE-424,UnitState,0.7995
RE-681,ManagedHashTableList,0.7995
RE-706,RemoteMessageHandler,0.7994
RE-701,RemoteMessageHandler,0.7993
RE-626,ServiceStatus,0.7993
RE-501,AbstractFileTransmitServerService,0.7992
RE-541,AreaMappingInfo,0.7992
RE-597,WorkspaceInitializer,0.7992
RE-597,DronologyMonitoringManager,0.7991
RE-681,IFlightRoute,0.7990
RE-611,DistanceChecker,0.7988
RE-626,SyncConstants,0.7986
RE-424,UAVTypeRegistrationService,0.7986
RE-759,RemoteManagerFactory,0.7986
RE-722,UAVModeChangeMessage,0.7986
RE-101,IFlightRouteplanningServiceInstance,0.7985
RE-693,DefaultDroneCollector,0.7985
RE-689,SynchronizationState,0.7985
RE-691,SimulatorScenarioInfo,0.7984
RE-508,JSONSendTester,0.7983
RE-508,JsonTester,0.7983
RE-101,DronologyServiceRunner,0.7982
RE-709,FileManager,0.7982
RE-691,RemoteMessageHandler,0.7981
RE-501,MessageMarshaller,0.7981
RE-691,IDroneSimulatorServiceInstance,0.7980
RE-701,ManagedHashTableList,0.7979
RE-689,SimulatorScenario,0.7978
RE-508,IDroneStatusChangeListener,0.7978
RE-722,UAVMessageFactory,0.7978
RE-508,TreeNode,0.7978
RE-759,SimulatorScenario,0.7977
RE-759,IFlightRouteplanningRemoteService,0.7976
RE-508,IRemoteServiceListener,0.7974
RE-501,BaseServiceProvider,0.7974
RE-656,DefaultDroneCollector,0.7974
RE-549,MonitoringDispatchThread,0.7973
RE-549,PysicalDroneIdGenerator,0.7972
RE-639,DronologyServiceRunner,0.7972
RE-701,MonitorDialog,0.7971
RE-611,SynchronizationManager,0.7971
RE-80,ISimulatorScenario,0.7970
RE-729,ManagedHashTableList,0.7970
RE-101,MessageMarshaller,0.7970
RE-616,AbstractDrone,0.7970
RE-501,DefaultDroneCollector,0.7969
RE-729,SetGimbalTargetCommand,0.7969
RE-508,IFileChangeNotifyable,0.7969
RE-639,IRemoteMonitoringMessageHandler,0.7968
RE-80,WatchServiceRunner,0.7967
RE-114,AreaMappingService,0.7966
RE-729,SetGimbalRotationCommand,0.7966
RE-611,MonitoringDispatchThread,0.7966
RE-501,EdgeLla,0.7965
RE-103,IBatterySimulator,0.7965
RE-691,DroneConnectorServiceInstance,0.7964
RE-114,IDroneSetupServiceInstance,0.7964
RE-549,MessageMarshaller,0.7963
RE-103,IFlightRouteplanningRemoteService,0.7962
RE-28,UAVMessageFactory,0.7961
RE-80,FakePythonGroundstation,0.7960
RE-114,MonitorDialog,0.7960
RE-626,UAVTypeRegistrationPersistenceProvider,0.7956
RE-114,DroneSimulatorServiceInstance,0.7955
RE-709,IdentifierCreator,0.7954
RE-706,ManagedHashTableList,0.7953
RE-693,UAVTypeRegistrationServiceRemoteFacade,0.7952
RE-709,ServiceStatus,0.7949
RE-501,RemoteServerProcessListenerAdapter,0.7949
RE-706,MonitorDialog,0.7949
RE-597,RemoteServerProcessListenerAdapter,0.7945
RE-508,UAVMessageFactory,0.7945
RE-689,RemoteManagerFactory,0.7945
RE-549,IDroneCommand,0.7945
RE-549,FlightPlanFactory,0.7945
RE-639,SimulatorScenarioPersistenceProvider,0.7944
RE-691,MissionElementFactory,0.7943
RE-508,ModeChangeMessageTypeAdapter,0.7943
RE-709,DronologyServiceException,0.7943
RE-587,DronologyServiceRunner,0.7942
RE-114,IDroneSimulatorRemoteService,0.7941
RE-695,DronologyServiceRunner,0.7941
RE-28,AFControlsComponent,0.7940
RE-424,FlightPlanFactory,0.7939
RE-689,DronologyServiceRunner,0.7939
RE-695,UAVTypeRegistrationServiceRemoteFacade,0.7939
RE-114,SimulatorScenarioInfo,0.7938
RE-508,DronologyListenerManager,0.7938
RE-656,ISimulatorScenario,0.7937
RE-693,IExecuteableMissionPlan,0.7936
RE-501,DroneCollector,0.7936
RE-695,SynchronizationState,0.7934
RE-501,AFControlsComponent,0.7934
RE-77,AMControlsComponent,0.7933
RE-722,FormatUtil,0.7933
RE-114,IDroneSimulatorServiceInstance,0.7932
RE-587,RemoteManagerFactory,0.7931
RE-611,RemoteServerProcessListenerAdapter,0.7929
RE-501,DroneMonitoringServiceRemoteFacade,0.7928
RE-639,AreaMappingServiceInstance,0.7928
RE-597,CommandIds,0.7928
RE-77,JsonTester2,0.7928
RE-501,IPlanStatusChangeListener,0.7928
RE-693,DroneCollector,0.7927
RE-626,DummyLockObject,0.7927
RE-587,SynchronizationState,0.7925
RE-101,AFAssignRouteComponent,0.7922
RE-695,ManagedHashTableList,0.7921
RE-587,SimulatorScenario,0.7921
RE-709,PatternFactory,0.7920
RE-77,RuntimeDroneTypes,0.7919
RE-114,RuntimeDroneTypes,0.7917
RE-689,ManagedHashTableList,0.7916
RE-691,AreaMappingCategoryInfo,0.7914
RE-77,FakePythonGroundstation,0.7913
RE-114,AbstractFileTransmitServerService,0.7913
RE-639,MissionPlanningServiceRemoteFacade,0.7912
RE-501,DroneSetupService,0.7912
RE-656,DroneCollector,0.7911
RE-693,JSONMissionPlanReader,0.7911
RE-639,DroneMonitoringService,0.7910
RE-626,DronologyServiceException,0.7909
RE-508,IManagedDroneStateChangeListener,0.7908
RE-508,IItemChangeListener,0.7908
RE-691,SimulatorScenarioCategoryInfo,0.7908
RE-594,StatusDispatchThread,0.7907
RE-555,UAVMessageFactory,0.7906
RE-691,FlightRouteCategoryInfo,0.7905
RE-77,DroneCollectionStatus,0.7904
RE-626,CommandIds,0.7904
RE-681,RemoteServerProcessListenerAdapter,0.7902
RE-114,IRemoteServiceListener,0.7902
RE-691,DefaultDroneCollector,0.7901
RE-80,IUAVProxy,0.7898
RE-693,IFlightRouteplanningRemoteService,0.7897
RE-597,IRemoteServiceListener,0.7896
RE-508,MonitoringDataHandler3,0.7894
RE-639,IDroneMonitoringServiceInstance,0.7894
RE-501,IncommingGroundstationConnectionServer,0.7893
RE-691,DroneConnectorService,0.7893
RE-501,IDroneStatusChangeListener,0.7893
RE-103,IFlightRouteplanningServiceInstance,0.7892
RE-424,AFMainLayout,0.7892
RE-691,UAVTypeRegistrationServiceRemoteFacade,0.7892
RE-701,FileManager,0.7890
RE-555,MissionElementFactory,0.7889
RE-689,IBatterySimulator,0.7888
RE-114,AreaMappingCategoryInfo,0.7888
RE-656,FlightManagerServiceRemoteFacade,0.7887
RE-424,DronologyServiceRunner,0.7887
RE-114,FlightRouteCategoryInfo,0.7884
RE-541,AMInfoBox,0.7884
RE-114,SimulatorScenarioCategoryInfo,0.7882
RE-691,DronologyServiceException,0.7881
RE-501,MissionElementFactory,0.7881
RE-508,DronologySeriviceListener,0.7880
RE-689,RemoteServerProcessListenerAdapter,0.7880
RE-639,IDroneConnectorServiceInstance,0.7880
RE-103,MissionElementFactory,0.7879
RE-587,IDroneSetupRemoteService,0.7878
RE-691,SyncConstants,0.7875
RE-114,FlightRouteInfo,0.7874
RE-501,UAVListenerManager,0.7874
RE-639,IDroneSimulatorRemoteService,0.7873
RE-695,RouteAssignmentDemoScript,0.7872
RE-541,FileManager,0.7872
RE-626,IdentifierCreator,0.7871
RE-701,DroneMonitoringServiceRemoteFacade,0.7871
RE-28,WorkspaceInitializer,0.7870
RE-555,AFAssignRouteComponent,0.7870
RE-626,PatternFactory,0.7870
RE-597,IFileChangeNotifyable,0.7869
RE-80,UAVProxy,0.7869
RE-639,DroneSimulatorServiceRemoteFacade,0.7868
RE-101,UAVTypeRegistrationServiceRemoteFacade,0.7868
RE-656,RouteAssignmentDemoScript,0.7866
RE-681,SimulatorScenario,0.7865
RE-587,IFlightRouteplanningRemoteService,0.7865
RE-691,UAVTypeRegistrationService,0.7864
RE-587,IBatterySimulator,0.7863
RE-656,IFlightRoute,0.7861
RE-501,DronologyListenerManager,0.7860
RE-28,FlightRoute,0.7858
RE-587,ManagedHashTableList,0.7857
RE-689,IDroneSetupRemoteService,0.7857
RE-691,DummyLockObject,0.7856
RE-101,IBatterySimulator,0.7856
RE-639,IRemoteServiceListener,0.7855
RE-616,MapDrawingUtil,0.7855
RE-424,IDroneSetupRemoteService,0.7854
RE-101,UAVMessageFactory,0.7854
RE-541,AbstractRMIRemoteObject,0.7853
RE-77,FileManager,0.7853
RE-28,UAVStateMessage,0.7852
RE-611,SimpleTakeoffFlightPlan,0.7852
RE-597,IServiceListener,0.7852
RE-646,EdgeLla,0.7852
RE-596,VirtualDrone,0.7851
RE-501,FakePythonGroundstation,0.7850
RE-691,DroneCollector,0.7849
RE-28,RuntimeDroneTypes,0.7849
RE-706,FileManager,0.7848
RE-611,AMControlsComponent,0.7848
RE-77,IBatterySimulator,0.7847
RE-114,IFileTransmitServiceInstance,0.7846
RE-693,IFlightRouteplanningServiceInstance,0.7846
RE-693,SupervisorService,0.7844
RE-691,ServiceIds,0.7843
RE-691,PatternFactory,0.7843
RE-691,CommandIds,0.7843
RE-508,MissionPlanningPersistenceProvider,0.7843
RE-597,MonitorDialog,0.7842
RE-691,IdentifierCreator,0.7842
RE-594,SimulatorScenario,0.7842
RE-759,UAVTypeRegistrationServiceRemoteFacade,0.7840
RE-424,MessageMarshaller,0.7839
RE-626,FlightRouteplanningServiceInstance,0.7839
RE-691,IDroneMonitoringServiceInstance,0.7839
RE-587,RemoteServerProcessListenerAdapter,0.7839
RE-28,JsonTester2,0.7838
RE-501,IManagedDroneStateChangeListener,0.7837
RE-501,UAVRegistrationService,0.7836
RE-626,AbstractRMIRemoteObject,0.7835
RE-101,FlightPlanFactory,0.7834
RE-689,IFlightRouteplanningRemoteService,0.7834
RE-611,SynchronizationPoint,0.7833
RE-549,UAVMessageFactory,0.7833
RE-101,MissionElementFactory,0.7832
RE-597,DronologySeriviceListener,0.7832
RE-114,IServiceListener,0.7831
RE-80,IFlightRoute,0.7831
RE-501,IItemChangeListener,0.7830
RE-501,IFileTransmitServiceInstance,0.7829
RE-541,FlightRouteInfo,0.7829
RE-508,UAVRegistrationPersistenceProvider,0.7829
RE-594,MessageMarshaller,0.7828
RE-626,IFlightSimulator,0.7828
RE-594,ISimulatorScenario,0.7828
RE-709,ResultCreationUtil,0.7827
RE-80,JsonTester,0.7827
RE-80,JSONSendTester,0.7827
RE-639,DroneSimulatorServiceInstance,0.7826
RE-114,DroneSetupService,0.7826
RE-28,WatchServiceRunner,0.7825
RE-555,IBatterySimulator,0.7825
RE-639,IAreaMappingRemoteService,0.7823
RE-681,FlightPlanFactory,0.7823
RE-547,SyncTask,0.7822
RE-28,MappingInfo,0.7822
RE-681,UnitState,0.7822
RE-103,FlightManagerServiceRemoteFacade,0.7822
RE-508,AFDragLayout,0.7820
RE-597,UAVMessageFactory,0.7820
RE-114,AbstractFileTransmitServiceInstance,0.7819
RE-508,IAreaMapping,0.7817
RE-597,ServiceStatus,0.7817
RE-103,UnitState,0.7817
RE-103,AFAssignRouteComponent,0.7816
RE-639,ISimulatorScenario,0.7816
RE-114,IAreaMappingServiceInstance,0.7815
RE-639,IDroneSimulatorServiceInstance,0.7814
RE-639,AbstractRMIRemoteObject,0.7812
RE-25,AbstractServiceInstance,0.7812
RE-424,UAVMessageFactory,0.7811
RE-597,GeneratedMappedArea,0.7809
RE-28,DroneCollectionStatus,0.7807
RE-424,IFlightRouteplanningRemoteService,0.7805
RE-80,AFMainLayout,0.7805
RE-597,SyncConstants,0.7804
RE-541,AFMainLayout,0.7803
RE-114,ResultCreationUtil,0.7802
RE-501,IFileChangeNotifyable,0.7802
RE-80,PreciseTimestamp,0.7800
RE-501,JsonTester2,0.7800
RE-639,UAVTypeRegistrationService,0.7800
RE-597,IdentifierCreator,0.7800
RE-28,UAVStatusWrapper,0.7798
RE-691,ResultCreationUtil,0.7798
RE-77,ArtifactIdentifier,0.7798
RE-541,FlightPlanInfo,0.7798
RE-681,RemoteManagerFactory,0.7798
RE-656,AFAssignRouteComponent,0.7797
RE-639,FlightInfo,0.7797
RE-549,WorkspaceInitializer,0.7796
RE-594,FlightRouteInfo,0.7795
RE-424,MissionElementFactory,0.7794
RE-501,ArtifactIdentifier,0.7794
RE-508,IDroneSetupServiceInstance,0.7793
RE-501,IRemoteServiceListener,0.7793
RE-28,PreciseTimestamp,0.7791
RE-103,MessageMarshaller,0.7791
RE-114,ServiceStatus,0.7791
RE-103,UAVTypeRegistrationServiceRemoteFacade,0.7790
RE-114,RemoteMessageHandler,0.7790
RE-695,DroneConnectorServiceInstance,0.7790
RE-691,IFlightSimulator,0.7790
RE-508,SendToSubscriberCallable,0.7789
RE-587,FlightManagerServiceRemoteFacade,0.7789
RE-639,FlightRouteplanningServiceInstance,0.7788
RE-597,PatternFactory,0.7787
RE-656,UAVTypeRegistrationService,0.7787
RE-77,JsonTester,0.7787
RE-77,JSONSendTester,0.7787
RE-501,ManagedHashTableList,0.7785
RE-759,IFlightRouteplanningServiceInstance,0.7785
RE-695,AFControlsComponent,0.7785
RE-706,DroneMonitoringServiceRemoteFacade,0.7785
RE-597,AbstractRMIRemoteObject,0.7785
RE-693,RemoteServerProcessListenerAdapter,0.7785
RE-555,FlightRoute,0.7784
RE-508,IServiceListener,0.7783
RE-114,AreaMappingServiceInstance,0.7782
RE-501,SynchronizationPoint,0.7782
RE-549,DroneCollectionStatus,0.7781
RE-501,MonitoringDataHandler3,0.7781
RE-549,RuntimeDroneTypes,0.7779
RE-689,AFMainLayout,0.7778
RE-541,IDroneCommandHandler,0.7777
RE-693,IFileTransmitRemoteService,0.7777
RE-424,DroneFleetManager,0.7776
RE-656,RemoteManagerFactory,0.7775
RE-611,UAVMessageFactory,0.7775
RE-639,IFlightRoute,0.7774
RE-103,SupervisorService,0.7773
RE-639,SimulatorScenarioInfo,0.7772
RE-701,ServiceIds,0.7771
RE-611,MessageMarshaller,0.7770
RE-594,IFlightRoute,0.7770
RE-701,IFlightSimulator,0.7770
RE-681,UAVTypeRegistrationService,0.7770
RE-594,GeneratedMappedArea,0.7768
RE-28,SimulatorScenario,0.7767
RE-549,Drone,0.7767
RE-701,UAVStateMessage,0.7767
RE-729,AbstractRMIRemoteObject,0.7766
RE-691,DroneMonitoringService,0.7766
RE-709,PlanPool,0.7765
RE-759,IFileTransmitRemoteService,0.7765
RE-706,IFlightSimulator,0.7765
RE-722,ConnectionRequestMessage,0.7763
RE-646,MappingInfo,0.7762
RE-691,DronologyServiceRunner,0.7762
RE-639,PlanPool,0.7762
RE-501,MissionPlanningPersistenceProvider,0.7761
RE-101,IDroneSetupRemoteService,0.7760
RE-114,FlightRouteplanningService,0.7760
RE-587,AFMainLayout,0.7758
RE-555,FlightPlanFactory,0.7758
RE-693,FlightManagerService,0.7757
RE-706,ServiceIds,0.7757
RE-114,SyncConstants,0.7755
RE-549,IUAVProxy,0.7755
RE-759,AFMainLayout,0.7754
RE-701,CommandIds,0.7754
RE-597,ServiceIds,0.7754
RE-691,UAVTypeRegistrationServiceInstance,0.7753
RE-508,UAVTypeRegistrationServiceInstance,0.7752
RE-549,ArtifactIdentifier,0.7751
RE-701,SyncConstants,0.7751
RE-508,AbstractServiceInstance,0.7749
RE-689,FlightManagerServiceRemoteFacade,0.7748
RE-114,ServiceIds,0.7747
RE-28,FakePythonGroundstation,0.7747
RE-501,UAVRegistrationPersistenceProvider,0.7745
RE-695,MessageMarshaller,0.7745
RE-508,IMonitoringDataHandler,0.7744
RE-597,FileManager,0.7744
RE-691,IDroneConnectorServiceInstance,0.7743
RE-689,MissionElementFactory,0.7743
RE-597,IItemChangeListener,0.7742
RE-656,SimulatorScenario,0.7741
RE-77,PreciseTimestamp,0.7741
RE-759,ManagedHashTableList,0.7741
RE-639,IServiceListener,0.7740
RE-80,UAVProxyManager,0.7739
RE-691,AMInfoPanel,0.7739
RE-541,AbstractFileTransmitServiceInstance,0.7738
RE-706,SyncConstants,0.7738
RE-656,DronologyServiceRunner,0.7737
RE-555,IDroneSetupRemoteService,0.7736
RE-594,FullMissionPlan,0.7735
RE-656,SynchronizationState,0.7735
RE-508,AreaMappingPersistenceProvider,0.7735
RE-706,CommandIds,0.7734
RE-695,AFMapViewOperations,0.7733
RE-639,PysicalDroneIdGenerator,0.7733
RE-695,IFlightRouteplanningServiceInstance,0.7732
RE-501,SynchronizationState,0.7730
RE-595,NedCommand,0.7730
RE-597,IRemoteMonitoringMessageHandler,0.7729
RE-549,AFControlsComponent,0.7728
RE-508,AMInfoPanel,0.7727
RE-626,PysicalDroneIdGenerator,0.7727
RE-759,IBatterySimulator,0.7727
RE-689,UnitState,0.7725
RE-555,DroneFleetManager,0.7723
RE-501,DronologySeriviceListener,0.7722
RE-709,IServiceListener,0.7722
RE-103,UAVMessageFactory,0.7719
RE-101,DroneFleetManager,0.7719
RE-587,MissionElementFactory,0.7719
RE-541,UAVProxyManager,0.7718
RE-80,SearchConstants,0.7715
RE-501,SendToSubscriberCallable,0.7715
RE-541,IFlightRouteplanningServiceInstance,0.7713
RE-597,IncommingGroundstationConnectionServer,0.7712
RE-77,AFControlsComponent,0.7711
RE-114,DummyLockObject,0.7708
RE-508,PlanPool,0.7707
RE-114,AbstractRMIRemoteObject,0.7707
RE-639,AreaMappingCategoryInfo,0.7706
RE-587,AFAssignRouteComponent,0.7705
RE-587,UnitState,0.7704
RE-646,FlightRoute,0.7704
RE-501,WatchServiceRunner,0.7704
RE-594,IDroneCommand,0.7704
RE-639,SimulatorScenarioCategoryInfo,0.7703
RE-114,DronologyServiceException,0.7703
RE-508,UAVTypeRegistrationPersistenceProvider,0.7703
RE-541,AreaMapping,0.7703
RE-77,ModeChangeMessageTypeAdapter,0.7701
RE-508,TaskList,0.7701
RE-555,AMInfoBox,0.7701
RE-597,FlightRouteplanningServiceRemoteFacade,0.7700
RE-639,DronologyServiceException,0.7700
RE-594,PlanPoolManager,0.7700
RE-114,CommandIds,0.7699
RE-759,RemoteServerProcessListenerAdapter,0.7698
RE-639,FlightRouteCategoryInfo,0.7698
RE-639,ServiceStatus,0.7697
RE-103,FlightPlanFactory,0.7696
RE-597,MonitoringDataHandler3,0.7696
RE-80,FlightRouteInfo,0.7695
RE-114,UAVRegistrationService,0.7694
RE-114,ISupervisorServiceInstance,0.7694
RE-597,FlightInfoCreator,0.7693
RE-549,IFlightPlan,0.7693
RE-508,DroneConnectorService,0.7693
RE-80,AbstractFlightPattern,0.7692
RE-424,IFlightRouteplanningServiceInstance,0.7692
RE-508,AFFollowBar,0.7691
RE-594,MonitoringDispatchThread,0.7691
RE-114,PysicalDroneIdGenerator,0.7690
RE-689,IFlightRouteplanningServiceInstance,0.7690
RE-691,AFDragLayout,0.7689
RE-689,FlightPlanFactory,0.7689
RE-501,IMonitoringDataHandler,0.7689
RE-508,RRDemoScript,0.7689
RE-103,DroneFleetManager,0.7689
RE-691,IAreaMappingRemoteService,0.7688
RE-555,FakePythonGroundstation,0.7687
RE-597,DummyLockObject,0.7685
RE-501,IDroneSetupServiceInstance,0.7685
RE-639,UAVTypeRegistrationPersistenceProvider,0.7684
RE-508,ServiceStatus,0.7683
RE-656,SimpleTakeoffFlightPlan,0.7680
RE-693,ManagedHashTableList,0.7679
RE-691,ManagedHashTableList,0.7679
RE-656,RemoteServerProcessListenerAdapter,0.7679
RE-706,UAVStateMessage,0.7677
RE-555,StatusDispatchThread,0.7677
RE-681,IDroneSetupRemoteService,0.7676
RE-611,IDroneCommand,0.7676
RE-501,AreaMappingPersistenceProvider,0.7676
RE-555,AFControlsComponent,0.7675
RE-656,ManagedHashTableList,0.7675
RE-114,PatternFactory,0.7673
RE-114,IdentifierCreator,0.7673
RE-701,DummyLockObject,0.7671
RE-639,PatternFactory,0.7670
RE-508,FlightRoutePersistenceProvider,0.7670
RE-587,IFlightRouteplanningServiceInstance,0.7670
RE-759,SynchronizationState,0.7668
RE-706,DummyLockObject,0.7668
RE-597,RemoteMessageHandler,0.7667
RE-80,AMInfoBox,0.7666
RE-549,TreeNode,0.7664
RE-656,AFMainLayout,0.7662
RE-616,Drone,0.7662
RE-639,SimulatorScenario,0.7662
RE-709,IFileChangeNotifyable,0.7662
RE-103,AMControlsComponent,0.7659
RE-691,SynchronizationState,0.7658
RE-681,DronologyServiceRunner,0.7656
RE-597,DronologyServiceException,0.7655
RE-729,SynchronizationState,0.7654
RE-656,IDroneSetupRemoteService,0.7653
RE-626,DefaultDroneCollector,0.7652
RE-28,JsonTester,0.7651
RE-28,JSONSendTester,0.7651
RE-508,IMissionPlan,0.7650
RE-80,ArtifactIdentifierTree,0.7649
RE-114,IFlightSimulator,0.7649
RE-80,ModeChangeMessageTypeAdapter,0.7649
RE-80,EdgeLla,0.7648
RE-508,PersistableMissionPlan,0.7647
RE-759,RouteAssignmentDemoScript,0.7645
RE-709,FormatUtil,0.7643
RE-695,IBatterySimulator,0.7642
RE-611,PysicalDroneIdGenerator,0.7642
RE-729,IBatterySimulator,0.7641
RE-541,RRDemoScript,0.7640
RE-695,UAVMessageFactory,0.7640
RE-689,AFAssignRouteComponent,0.7639
RE-80,MockupProbe,0.7639
RE-706,DroneRouteAssignment,0.7639
RE-424,UAVTypeRegistrationServiceRemoteFacade,0.7638
RE-549,AbstractDroneCommand,0.7638
RE-587,FlightPlanFactory,0.7638
RE-549,UAVProxy,0.7637
RE-626,ISimulatorScenario,0.7637
RE-689,UAVTypeRegistrationServiceRemoteFacade,0.7636
RE-549,FlightRoute,0.7635
RE-691,AbstractServerService,0.7634
RE-681,IFlightRouteplanningRemoteService,0.7634
RE-508,IDronologyChangeListener,0.7634
RE-508,FlightZoneException,0.7634
RE-693,IBatterySimulator,0.7633
RE-549,JsonTester2,0.7633
RE-646,ArtifactIdentifier,0.7633
RE-103,IBaseServiceProvider,0.7632
RE-541,GeneratedMappedArea,0.7630
RE-639,IdentifierCreator,0.7628
RE-551,FlightZoneException,0.7626
RE-549,SimulatorScenario,0.7626
RE-28,ISimulatorScenario,0.7626
RE-656,IFlightRouteplanningRemoteService,0.7626
RE-501,IServiceListener,0.7625
RE-80,AbstractFileTransmitServiceInstance,0.7625
RE-77,UAVProxyManager,0.7625
RE-597,MissionPlanningPersistenceProvider,0.7624
RE-639,DummyLockObject,0.7624
RE-501,FlightRoutePersistenceProvider,0.7622
RE-28,MockupProbe,0.7622
RE-501,UAVMessageFactory,0.7621
RE-114,MissionElementFactory,0.7621
RE-80,AbstractRMIRemoteObject,0.7620
RE-597,SendToSubscriberCallable,0.7620
RE-759,SupervisorService,0.7619
RE-681,MessageMarshaller,0.7615
RE-695,IDroneSetupRemoteService,0.7615
RE-103,IFileTransmitRemoteService,0.7614
RE-656,IBatterySimulator,0.7614
RE-101,IFlightRouteplanningRemoteService,0.7614
RE-501,AbstractDroneCommand,0.7612
RE-80,FullMissionPlan,0.7611
RE-681,UAVMessageFactory,0.7611
RE-701,IdentifierCreator,0.7610
RE-689,MessageMarshaller,0.7610
RE-508,DroneMonitoringService,0.7610
RE-706,IdentifierCreator,0.7609
RE-709,AbstractRMIRemoteObject,0.7608
RE-709,IRemoteMonitoringMessageHandler,0.7607
RE-594,AbstractFileTransmitServiceInstance,0.7607
